Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
1042,Analysis gas must,"Animation,Family,Fantasy","Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",Christopher Landon,"Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman, CCH Pounder",2011,129,4.9,924529,624.01,29
1043,Occur many character,"Action,Horror","Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.",Ava DuVernay,"Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright, Bob Balaban",1996,172,6.9,265139,835.29,42
1044,Claim religious every political,"Drama,Family",Martin was a normal teenage boy before the country collapsed in an empty pit of economic and political disaster. A vampire epidemic has swept across what is left of the nation's abandoned ... See full summary Â»,Andrey Kravchuk,"Shia LaBeouf, Jai Courtney, Gary Oldman, Kate Mara",2017,123,6.6,768445,295.91,26
1045,Shake last cultural,"Biography,Drama,Family",An ex-con gets on a series of apparently unrelated killings. He gets tracked by a veteran cop with secrets of his own and an egocentric hit man.,Tate Taylor,"Sylvester Stallone, Liam Hemsworth, Randy Couture,Jean-Claude Van Damme",1989,114,4.2,479932,572.05,75
1046,Green general,"Adventure,Family,Fantasy",Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,Etan Cohen,"Anne Hathaway, Jason Sudeikis, Austin Stowell,Tim Blake Nelson",1980,149,6,800452,951.69,32
1047,Case,"Drama,Sport",An All-American college star and his beauty queen wife watch their seemingly perfect life fall apart as their daughter joins the turmoil of '60s America.,Stewart Hendler,"Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish",2011,146,5.8,996091,518.43,55
1048,System year,"Comedy,Drama,Thriller",A newly wed man who believes he's just gotten hitched to the perfect woman encounters another lady on his honeymoon.,Luc Besson,"Lyndsy Fonseca, Michael Doneger, Tommy Dewey,Bruce Campbell",2014,110,7.9,758309,843.44,86
1049,Toward billion,Thriller,Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.,Claude Barras,"Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell",2002,86,7.2,44368,,66
1050,Subject number,"Biography,Drama,Thriller","Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",Julia Ducournau,"Sharlto Copley, Brie Larson, Armie Hammer, Cillian Murphy",2006,172,6.1,942086,103.53,59
1051,Together expert,"Drama,Music,Romance","Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend.",Saul Dibb,"Adam Sandler, Kevin James, Michelle Monaghan,Peter Dinklage",1981,117,8.5,355111,324.77,
1052,Do theory land,"Crime,Thriller","In a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world.",Paolo Genovese,"Cynthia Nixon, Jennifer Ehle, Duncan Duff, Keith Carradine",1984,144,8.3,416667,584.11,50
1053,Toward friend,"Biography,Drama,Family","This ripped-from-the-headlines drama covers the early rise of gay porn headliner Sean Paul Lockhart a.k.a. Brent Corrigan, before his falling out with the producer who made him famous. When... See full summary Â»",Andrea Arnold,"Angelina Jolie, James McAvoy, Morgan Freeman, Terence Stamp",2023,179,4.3,19532,652.93,66
1054,Stop statement health,"Drama,Sci-Fi,Thriller","""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",Ben Wheatley,"Gemma Arterton, Glenn Close, Dominique Tipper,Paddy Considine",2011,88,5.9,854790,629.73,60
1055,View draw,"Comedy,Sci-Fi",Six short stories that explore the extremities of human behavior involving people in distress.,Alan Taylor,"Mark Wahlberg, Jessica Lange, John Goodman, Brie Larson",1987,155,8.1,790314,,
1056,Similar knowledge body,"Action,Sci-Fi","An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",William Oldroyd,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",2014,146,5.2,933400,,
1057,Daughter,"Action,Crime,Drama",The lives of three women are unexpectedly changed when they cross paths at a New York Family Court.,Steven Quale,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard, Sally Hawkins",1997,138,6.5,231225,89.09,79
1058,Security,"Animation,Comedy,Family","Henry is resurrected from death with no memory, and he must save his wife from a telekinetic warlord with a plan to bio-engineer soldiers.",Simon Curtis,"Chris Hemsworth, Jessica Chastain, Charlize Theron, Emily Blunt",2017,91,6.2,132158,617.16,88
1059,This road answer,"Action,Sci-Fi,Thriller","Two struggling pals dress as police officers for a costume party and become neighborhood sensations. But when these newly-minted ""heroes"" get tangled in a real life web of mobsters and dirty detectives, they must put their fake badges on the line.",Roland Emmerich,"Gemma Arterton, Glenn Close, Dominique Tipper,Paddy Considine",1980,177,4.7,905189,718.73,67
1060,Stay very wife,"Adventure,Fantasy",A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.,Courtney Hunt,"James McAvoy, Jamie Bell, Eddie Marsan, Imogen Poots",2025,83,8.3,292077,,95
1061,Important stop,"Adventure,Comedy","Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",Hideaki Anno,"Hilary Swank, Imelda Staunton, Patrick Dempsey, Scott Glenn",2001,113,8.3,227916,906.09,
1062,Beat director system,"Drama,Family",A small town loner and a rebellious punk rocker unexpectedly fall in love as they are forced on the run and soon discover violence follows them everywhere.,Jake Schreier,"Scarlett Johansson, Morgan Freeman, Min-sik Choi,Amr Waked",1981,164,5,398692,,32
1063,Down operation second gun,"Action,Fantasy,Thriller",A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,Harmony Korine,"Miles Teller, Shailene Woodley, Kyle Chandler,Jennifer Jason Leigh",1994,95,5.6,222474,110.17,63
1064,Gas character turn,"Biography,Crime,Drama","The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.",Paco Cabezas,"Kristen Stewart, Lars Eidinger, Sigrid Bouaziz,Anders Danielsen Lie",1980,96,5,595241,263.91,21
1065,Teacher prepare,"Biography,Drama","Gloria is an out-of-work party girl forced to leave her life in New York City, and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",Andy Fickman,"Morgan Saylor, Brian Marc, Justin Bartha, Adrian Martinez",2006,83,4.2,942916,379.04,61
1066,Rather be,"Action,Horror,Mystery","An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.",Marcus Nispel,"James Badge Dale, Emily Mortimer, Bruce Greenwood,Max Martini",1994,143,8.9,973146,29.9,77
1067,Peace foreign message,"Adventure,Drama,Fantasy","A chronicle of one woman's 1,100-mile solo hike undertaken as a way to recover from a recent personal tragedy.",Joe Carnahan,"Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish",2003,99,7.9,529776,570.33,46
1068,Prove already,"Drama,Fantasy","A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her.",Katie Holmes,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Alison Pill",2021,157,4.8,863425,392.92,90
1069,Capital story stage,"Action,Fantasy,War","A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",Jonathan Liebesman,"Ryan Potter, Scott Adsit, Jamie Chung,T.J. Miller",2007,122,7.6,125607,289.26,53
1070,Senior start over,"Adventure,Drama,History","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Tom Hooper,"Angelina Jolie, Colm Feore, Amy Ryan, Gattlin Griffith",1998,159,5,835059,934.15,79
1071,Even alone,"Drama,Sport",Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.,John Krasinski,"Taraneh Alidoosti, Shahab Hosseini, Babak Karimi,Farid Sajjadi Hosseini",1993,90,6.6,124466,50.53,45
1072,Mother section,"Biography,Drama,Family",A young married couple's lives are thrown into a harrowing tailspin when an acquaintance from the husband's past brings mysterious gifts and a horrifying secret to light after more than 20 years.,Rian Johnson,"Sharlto Copley, Charlie Day, Richard Jenkins, Anna Kendrick",1992,147,8.5,338292,237.94,93
1073,Tv major north,"Adventure,Biography",Three generations come together in the week leading up to Mother's Day.,Baltasar KormÃ¡kur,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval",2009,101,6.6,584467,889.56,62
1074,Way culture,"Adventure,Drama,Fantasy","A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession.",Michael J. Gallagher,"Woody Allen, PenÃ©lope Cruz, Jesse Eisenberg, Ellen Page",2024,89,8.4,414096,107.63,63
1075,Respond husband,"Comedy,Drama,Family","In Paris in 1931, an orphan named Hugo Cabret who lives in the walls of a train station is wrapped up in a mystery involving his late father and an automaton.",Thea Sharrock,"George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy",2009,167,5.8,391949,621.92,
1076,Must goal me,"Drama,Romance","Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story.",Rawson Marshall Thurber,"Emily Browning, Vanessa Hudgens, Abbie Cornish,Jena Malone",1996,168,6.5,779107,22.55,100
1077,Practice federal go include,"Adventure,Drama,Romance",Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Paul W.S. Anderson,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki",1983,104,7.8,653901,,93
1078,Surface similar including,"Action,Comedy,Fantasy","A grieving couple retreat to their cabin in the woods, hoping to repair their broken hearts and troubled marriage. But nature takes its course and things go from bad to worse.",Joe Johnston,"Mel Gibson, Erin Moriarty, Diego Luna, Michael Parks",2010,98,5.9,647444,976.98,
1079,Fast parent,"Action,Drama,War",Scottish islanders try to plunder cases of whisky from a stranded ship.,Walter Hill,"Alexander SkarsgÃ¥rd, Michael PeÃ±a, Theo James, Tessa Thompson",2004,112,5.2,904839,777.92,
1080,Clear ten,"Biography,Drama,History","When a radio falls from the sky into the hands of a wide-eyed Tibetan Mastiff, he leaves home to fulfill his dream of becoming a musician, setting into motion a series of completely unexpected events.",Tom Gormican,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",2024,123,8.2,688059,165.34,72
1081,Piece,"Action,Comedy,Mystery","The story revolves around Nishimiya Shoko, a grade school student who has impaired hearing. She transfers into a new school, where she is bullied by her classmates, especially Ishida Shouya... See full summary Â»",Lasse HallstrÃ¶m,"Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl, Josef Altin",2020,128,5.8,504711,463.59,53
1082,Behind defense rest design,"Action,Adventure,Mystery","After waking up and discovering that he has undergone gender reassignment surgery, an assassin seeks to find the doctor responsible.",Christophe Lourdelet,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers",1990,118,6.8,927944,548.16,44
1083,To street,"Comedy,Romance",Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,Martin Scorsese,"Kate Beckinsale, Mel Raido, Duncan Joiner, Lucas Till",1993,91,8.3,283054,266.62,31
1084,Fear best require,"Animation,Adventure,Comedy","3 high school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",Rob Marshall,"Zachary Gordon, Robert Capron, Devon Bostick,Steve Zahn",1999,125,6.8,755486,335.7,32
1085,Side return,"Animation,Action,Comedy","A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",J.J. Abrams,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine",2005,160,5.9,429818,278.61,75
1086,Region full,"Adventure,Biography,Crime",A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,Lasse HallstrÃ¶m,"Nicolas Cage, Tom Sizemore, Thomas Jane,Matt Lanter",2023,172,7.7,58760,423.25,72
1087,Sure stage,"Drama,Sci-Fi","A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",Ruben Fleischer,"Miyu Irino, Saori Hayami, Aoi Yuki, KenshÃ´ Ono",1999,141,6.6,531683,361.96,20
1088,Moment fish,"Drama,Mystery,Thriller","70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",Paul McGuigan,"Rebecca Hall, Scarlett Johansson, Javier Bardem,Christopher Evan Welch",2000,87,7.4,742995,101.7,72
1089,These more,"Adventure,Drama,War","When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity's last hope.",Jean-FranÃ§ois Richet,"Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau",1985,115,4.1,402503,,57
1090,Form little,"Comedy,Crime",Two girls must battle a mysterious evil force when they get left behind at their boarding school over winter break.,Lenny Abrahamson,"Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman, CCH Pounder",2022,177,5.9,202439,,79
1091,Lose draw,"Animation,Adventure,Comedy","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Gavin O'Connor,"FranÃ§ois Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot",2013,83,5.8,531926,909.55,40
1092,Everybody serve threat owner,"Action,Comedy,Horror","When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",Gilles Paquet-Brenner,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland",2009,139,6.6,155244,490.77,74
1093,Serious born young,"Comedy,Drama,Music","Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, a genocidal alien race which nearly annihilated the human race in a previous invasion.",Adam McKay,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver",1988,168,6.6,973885,177.67,49
1094,Glass sense,"Drama,History","A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity.",Rajkumar Hirani,"Rhona Mitra, Michael Sheen, Bill Nighy, Steven Mackintosh",2002,169,7.6,646013,821.68,56
1095,Politics,Drama,"Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant-Colonel, to Florida for spring break.",Mark Mylod,"Daniel Radcliffe, James McAvoy, Jessica Brown Findlay, Andrew Scott",2013,88,7.3,591840,709.22,36
1096,Usually hot science,"Action,Horror,Mystery",Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,Tarsem Singh,"Alex Pettyfer, Timothy Olyphant, Dianna Agron, Teresa Palmer",1995,154,8.1,56054,929.94,
1097,Card our,"Mystery,Romance,Thriller","An adventurous girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",Matthew Vaughn,"Colin Firth, Reese Witherspoon, Alessandro Nivola,James Hamrick",2018,159,4.8,518113,86.74,24
1098,Attack class democratic,"Action,Drama,War",Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.,Juan Carlos Fresnadillo,"Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter",1987,100,8.6,94011,,34
1099,Future simple,"Comedy,Horror,Romance",A practical joking father tries to reconnect with his hard working daughter by creating an outrageous alter ego and posing as her CEO's life coach.,Anthony Russo,"Jared Leto, Sarah Polley, Diane Kruger, Linh Dan Pham",2018,159,5.4,23657,364.14,
1100,Concern they response,"Romance,Sci-Fi,Thriller","While attending a dinner party at his former home, a man thinks his ex-wife and her new husband have sinister intentions for their guests.",Steven Shainberg,"Jay Baruchel, Gerard Butler,Christopher Mintz-Plasse, Craig Ferguson",2016,123,8.8,625593,888.4,90
